Dataset,Model,Accuracy,Precision,Recall,F1,n_train,n_test
Breast Cancer (Diagnosis),Logistic Regression,0.9035087719298246,0.8780487804878049,0.8571428571428571,0.8674698795180723,455,114
Breast Cancer (Diagnosis),Random Forest,0.9122807017543859,0.9,0.8571428571428571,0.8780487804878049,455,114
Breast Cancer (Diagnosis),SVM (RBF),0.9210526315789473,0.8666666666666667,0.9285714285714286,0.896551724137931,455,114
Heart Disease (Target),Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,242,61
Heart Disease (Target),Random Forest,0.9016393442622951,0.84375,0.9642857142857143,0.9,242,61
Heart Disease (Target),SVM (RBF),0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442,242,61
CDC Diabetes (3-class),Logistic Regression,0.8471666666666666,0.4626289011433348,0.38449592881725847,0.3936742954912369,24000,6000
CDC Diabetes (3-class),Random Forest,0.8438333333333333,0.4560850204789599,0.3662055857346716,0.3678829004824757,24000,6000
CDC Diabetes (3-class),SVM (RBF),0.6523333333333333,0.42903137684843046,0.48233682291854035,0.4154221587464764,24000,6000
