dataset,variable,missing_count,missing_percent
breast_cancer,radius1,0,0.0
breast_cancer,texture1,0,0.0
breast_cancer,perimeter1,0,0.0
breast_cancer,area1,0,0.0
breast_cancer,smoothness1,0,0.0
breast_cancer,compactness1,0,0.0
breast_cancer,concavity1,0,0.0
breast_cancer,concave_points1,0,0.0
breast_cancer,symmetry1,0,0.0
breast_cancer,fractal_dimension1,0,0.0
breast_cancer,radius2,0,0.0
breast_cancer,texture2,0,0.0
breast_cancer,perimeter2,0,0.0
breast_cancer,area2,0,0.0
breast_cancer,smoothness2,0,0.0
breast_cancer,compactness2,0,0.0
breast_cancer,concavity2,0,0.0
breast_cancer,concave_points2,0,0.0
breast_cancer,symmetry2,0,0.0
breast_cancer,fractal_dimension2,0,0.0
breast_cancer,radius3,0,0.0
breast_cancer,texture3,0,0.0
breast_cancer,perimeter3,0,0.0
breast_cancer,area3,0,0.0
breast_cancer,smoothness3,0,0.0
breast_cancer,compactness3,0,0.0
breast_cancer,concavity3,0,0.0
breast_cancer,concave_points3,0,0.0
breast_cancer,symmetry3,0,0.0
breast_cancer,fractal_dimension3,0,0.0
breast_cancer,Diagnosis,0,0.0
